ID,WF_ID,SALARY_MONTH,STARTDATE,ENDDATE,PAID_DAYS,OVERTIME_HOURS,TOTAL_LEAVE_TAKEN_CURRENT_MONTH,LEAVE_CARRY_FORWARD,TOTAL_LEAVE_AVAILABLE,LEAVE_ADJUSTED,LEAVE_BALANCE,LEAVE_DEDUCTION,BASIC_DA,HRA,SPECIAL_ALLOWANCES,ACTUAL_BASIC_DA,ACTUAL_HRA,ACTUAL_SPECIAL_ALLOWANCES,PRODUCTION_INCENTIVE_BONUS,PF,ESI,TDS,SHOP_FLOOR_FINE,OTHER_DEDUCTION,ADVANCE,OVERTIME_WAGES,WORKINGDAY_WAGES,TOTAL_WAGES,TOTAL_WAGES_AFTER_DEDUCTION,EMPLOYER_EPF,EMPLOYER_ESI,ADMIN_CHARGES,EDLI_CHARGES,CREATED_ON,MODE_OF_PAYMENT,PAID_STATUS
B0C45C9A-42E0-EB11-A40F-08F1EAEF4310,D13555F2-74AA-EB11-BF79-A45D3669901F,6,2021-06-01,2021-06-30,21.35,21.32,7,2,3,3,0,4,8758.00,0.00,0.00,7192.00,0.00,0.00,898.00,863.00,61.00,0.00,0.00,0.00,0.00,898.00,7192.00,7192.00,7166.00,863.00,262.93,35.96,35.96,2021-07-09 04:47:03.713,,UnPaid
B59492AD-42E0-EB11-A40F-08F1EAEF4310,D23555F2-74AA-EB11-BF79-A45D3669901F,6,2021-06-01,2021-06-30,24.16,22.57,2,0,1,1,0,1,9634.00,0.00,242.00,8952.00,0.00,225.00,1072.00,1101.00,77.00,0.00,0.00,0.00,0.00,1072.00,9177.00,9177.00,9071.00,1101.00,333.09,45.89,45.89,2021-07-09 04:47:35.943,,UnPaid
1592E6DA-42E0-EB11-A40F-08F1EAEF4310,D13555F2-74AA-EB11-BF79-A45D3669901F,6,2021-06-01,2021-06-30,21.35,21.32,7,2,3,3,0,4,8758.00,0.00,0.00,7192.00,0.00,0.00,898.00,863.00,61.00,0.00,0.00,0.00,0.00,898.00,7192.00,7192.00,7166.00,863.00,262.93,35.96,35.96,2021-07-09 04:48:51.990,,UnPaid
1692E6DA-42E0-EB11-A40F-08F1EAEF4310,D23555F2-74AA-EB11-BF79-A45D3669901F,6,2021-06-01,2021-06-30,24.16,22.57,2,0,1,1,0,1,9634.00,0.00,242.00,8952.00,0.00,225.00,1072.00,1101.00,77.00,0.00,0.00,0.00,0.00,1072.00,9177.00,9177.00,9071.00,1101.00,333.09,45.89,45.89,2021-07-09 04:48:52.757,,UnPaid
1792E6DA-42E0-EB11-A40F-08F1EAEF4310,D53555F2-74AA-EB11-BF79-A45D3669901F,6,2021-06-01,2021-06-30,25.98,71.52,0,0,1,0,1,0,10791.00,4054.00,0.00,10783.00,4051.00,0.00,5189.00,1294.00,150.00,0.00,0.00,0.00,0.00,5104.00,14834.00,14834.00,18579.00,1294.00,650.75,53.92,53.92,2021-07-09 04:48:53.633,,UnPaid
1892E6DA-42E0-EB11-A40F-08F1EAEF4310,D63555F2-74AA-EB11-BF79-A45D3669901F,6,2021-06-01,2021-06-30,24.68,55.52,1,0,1,1,0,0,8758.00,0.00,713.00,8313.00,0.00,677.00,2528.00,1079.00,86.00,0.00,0.00,0.00,0.00,2528.00,8990.00,8990.00,10353.00,1079.00,374.34,44.95,44.95,2021-07-09 04:48:54.430,,UnPaid
1992E6DA-42E0-EB11-A40F-08F1EAEF4310,D73555F2-74AA-EB11-BF79-A45D3669901F,6,2021-06-01,2021-06-30,23.14,49.07,3,0,1,1,0,2,8758.00,0.00,713.00,7795.00,0.00,634.00,2234.00,1011.00,80.00,0.00,0.00,0.00,0.00,2234.00,8429.00,8429.00,9572.00,1011.00,346.55,42.15,42.15,2021-07-09 04:48:55.147,,UnPaid
1A92E6DA-42E0-EB11-A40F-08F1EAEF4310,D83555F2-74AA-EB11-BF79-A45D3669901F,6,2021-06-01,2021-06-30,26.00,31.53,0,3,4,0,4,0,10791.00,0.00,468.00,10791.00,0.00,468.00,1707.00,1351.00,97.00,0.00,0.00,0.00,0.00,1707.00,11259.00,11259.00,11518.00,1351.00,421.40,56.30,56.30,2021-07-09 04:48:55.990,,UnPaid
1B92E6DA-42E0-EB11-A40F-08F1EAEF4310,D93555F2-74AA-EB11-BF79-A45D3669901F,6,2021-06-01,2021-06-30,25.58,28.02,1,4,5,1,4,0,10791.00,4316.00,1559.00,10617.00,4246.00,1534.00,2245.00,1458.00,140.00,0.00,0.00,0.00,0.00,2245.00,16397.00,16397.00,17044.00,1458.00,605.87,60.76,60.76,2021-07-09 04:48:56.820,,UnPaid
1C92E6DA-42E0-EB11-A40F-08F1EAEF4310,DC3555F2-74AA-EB11-BF79-A45D3669901F,6,2021-06-01,2021-06-30,26.00,13.00,1,3,4,1,3,0,10791.00,2380.00,0.00,10791.00,2380.00,0.00,823.00,1295.00,105.00,0.00,0.00,0.00,0.00,823.00,13171.00,13171.00,12594.00,1295.00,454.81,53.96,53.96,2021-07-09 04:48:57.663,,UnPaid
